Info,  T1256: this is my info-call
Info,  T1256: App started!
Debug, T1256: ReSizeGLScene width: 784, height: 535
Info,  T1256: Form Fully Loaded
Debug, T1256: ReSizeGLScene width: 785, height: 535
Debug, T1256: ReSizeGLScene width: 788, height: 536
Debug, T1256: ReSizeGLScene width: 794, height: 537
Debug, T1256: ReSizeGLScene width: 800, height: 539
Debug, T1256: ReSizeGLScene width: 803, height: 540
Debug, T1256: ReSizeGLScene width: 807, height: 541
Debug, T1256: ReSizeGLScene width: 814, height: 544
Debug, T1256: ReSizeGLScene width: 821, height: 546
Debug, T1256: ReSizeGLScene width: 827, height: 549
Debug, T1256: ReSizeGLScene width: 832, height: 551
Debug, T1256: ReSizeGLScene width: 840, height: 553
Debug, T1256: ReSizeGLScene width: 848, height: 556
Debug, T1256: ReSizeGLScene width: 855, height: 559
Debug, T1256: ReSizeGLScene width: 863, height: 562
Debug, T1256: ReSizeGLScene width: 875, height: 568
Debug, T1256: ReSizeGLScene width: 877, height: 568
Debug, T1256: ReSizeGLScene width: 886, height: 572
Debug, T1256: ReSizeGLScene width: 895, height: 575
Debug, T1256: ReSizeGLScene width: 903, height: 580
Debug, T1256: ReSizeGLScene width: 918, height: 585
Debug, T1256: ReSizeGLScene width: 926, height: 589
Debug, T1256: ReSizeGLScene width: 936, height: 594
Debug, T1256: ReSizeGLScene width: 950, height: 600
Debug, T1256: ReSizeGLScene width: 959, height: 605
Debug, T1256: ReSizeGLScene width: 963, height: 607
Debug, T1256: ReSizeGLScene width: 977, height: 614
Debug, T1256: ReSizeGLScene width: 984, height: 618
Debug, T1256: ReSizeGLScene width: 993, height: 622
Debug, T1256: ReSizeGLScene width: 1001, height: 627
Debug, T1256: ReSizeGLScene width: 1012, height: 633
Debug, T1256: ReSizeGLScene width: 1020, height: 637
Debug, T1256: ReSizeGLScene width: 1027, height: 641
Debug, T1256: ReSizeGLScene width: 1033, height: 645
Debug, T1256: ReSizeGLScene width: 1040, height: 650
Debug, T1256: ReSizeGLScene width: 1047, height: 654
Debug, T1256: ReSizeGLScene width: 1052, height: 656
Debug, T1256: ReSizeGLScene width: 1059, height: 660
Debug, T1256: ReSizeGLScene width: 1068, height: 666
Debug, T1256: ReSizeGLScene width: 1074, height: 669
Debug, T1256: ReSizeGLScene width: 1081, height: 673
Debug, T1256: ReSizeGLScene width: 1087, height: 676
Debug, T1256: ReSizeGLScene width: 1092, height: 679
Debug, T1256: ReSizeGLScene width: 1098, height: 682
Debug, T1256: ReSizeGLScene width: 1103, height: 684
Debug, T1256: ReSizeGLScene width: 1111, height: 688
Debug, T1256: ReSizeGLScene width: 1116, height: 690
Debug, T1256: ReSizeGLScene width: 1121, height: 692
Debug, T1256: ReSizeGLScene width: 1126, height: 694
Debug, T1256: ReSizeGLScene width: 1132, height: 696
Debug, T1256: ReSizeGLScene width: 1139, height: 699
Debug, T1256: ReSizeGLScene width: 1144, height: 700
Debug, T1256: ReSizeGLScene width: 1149, height: 701
Debug, T1256: ReSizeGLScene width: 1156, height: 703
Debug, T1256: ReSizeGLScene width: 1160, height: 704
Debug, T1256: ReSizeGLScene width: 1165, height: 705
Debug, T1256: ReSizeGLScene width: 1169, height: 707
Debug, T1256: ReSizeGLScene width: 1176, height: 709
Debug, T1256: ReSizeGLScene width: 1178, height: 709
Debug, T1256: ReSizeGLScene width: 1185, height: 711
Debug, T1256: ReSizeGLScene width: 1187, height: 711
Debug, T1256: ReSizeGLScene width: 1194, height: 712
Debug, T1256: ReSizeGLScene width: 1199, height: 713
Debug, T1256: ReSizeGLScene width: 1203, height: 714
Debug, T1256: ReSizeGLScene width: 1210, height: 715
Debug, T1256: ReSizeGLScene width: 1214, height: 716
Debug, T1256: ReSizeGLScene width: 1219, height: 717
Debug, T1256: ReSizeGLScene width: 1223, height: 718
Debug, T1256: ReSizeGLScene width: 1228, height: 719
Debug, T1256: ReSizeGLScene width: 1235, height: 721
Debug, T1256: ReSizeGLScene width: 1240, height: 722
Debug, T1256: ReSizeGLScene width: 1246, height: 722
Debug, T1256: ReSizeGLScene width: 1253, height: 724
Debug, T1256: ReSizeGLScene width: 1258, height: 724
Debug, T1256: ReSizeGLScene width: 1262, height: 725
Debug, T1256: ReSizeGLScene width: 1266, height: 726
Debug, T1256: ReSizeGLScene width: 1271, height: 726
Debug, T1256: ReSizeGLScene width: 1272, height: 726
